Female	Male	Female&&Male	Experimental_Series_II	Experimental_Series_III	Experimental_Series_IV	Experimental_Series_V	Grain_Yield[Mg/ha]	Type
arezzo	tri10181	arezzo&&tri10181	0	0	0	1	9.363425817	Hybrid
arezzo	tri10699	arezzo&&tri10699	0	0	0	1	8.827212006	Hybrid
arezzo	tri11271	arezzo&&tri11271	0	0	0	1	8.650712609	Hybrid
arezzo	tri11273	arezzo&&tri11273	0	0	0	1	9.110796995	Hybrid
arezzo	tri11940	arezzo&&tri11940	0	0	0	1	8.600296332	Hybrid
arezzo	tri12038	arezzo&&tri12038	0	0	0	1	8.405909963	Hybrid
arezzo	tri12918	arezzo&&tri12918	0	0	0	1	8.879971724	Hybrid
arezzo	tri12931	arezzo&&tri12931	0	0	0	1	8.888732801	Hybrid
arezzo	tri12965	arezzo&&tri12965	0	0	0	1	8.563852278	Hybrid
arezzo	tri13509	arezzo&&tri13509	0	0	0	1	8.404293468	Hybrid
arezzo	tri13519	arezzo&&tri13519	0	0	0	1	8.315977464	Hybrid
arezzo	tri13692	arezzo&&tri13692	0	0	0	1	8.777262936	Hybrid
arezzo	tri14852	arezzo&&tri14852	0	0	0	1	8.248061565	Hybrid
arezzo	tri16013	arezzo&&tri16013	0	0	0	1	8.855629792	Hybrid
arezzo	tri16576	arezzo&&tri16576	0	0	0	1	8.77858265	Hybrid
arezzo	tri17266	arezzo&&tri17266	0	0	0	1	8.373222385	Hybrid
arezzo	tri19521	arezzo&&tri19521	0	0	0	1	8.611127899	Hybrid
arezzo	tri19594	arezzo&&tri19594	0	0	0	1	9.061165015	Hybrid
arezzo	tri19860	arezzo&&tri19860	0	0	0	1	8.470728312	Hybrid
arezzo	tri19933	arezzo&&tri19933	0	0	0	1	9.309194314	Hybrid
arezzo	tri22371	arezzo&&tri22371	0	0	0	1	9.214561668	Hybrid
arezzo	tri22527	arezzo&&tri22527	0	0	0	1	8.456812234	Hybrid
arezzo	tri23018	arezzo&&tri23018	0	0	0	1	8.969627999	Hybrid
arezzo	tri23234	arezzo&&tri23234	0	0	0	1	9.332309592	Hybrid
arezzo	tri23308	arezzo&&tri23308	0	0	0	1	7.944630775	Hybrid
arezzo	tri23428	arezzo&&tri23428	0	0	0	1	8.291973977	Hybrid
arezzo	tri23712	arezzo&&tri23712	0	0	0	1	8.420333471	Hybrid
arezzo	tri23890	arezzo&&tri23890	0	0	0	1	9.289057838	Hybrid
arezzo	tri23924	arezzo&&tri23924	0	0	0	1	8.508783434	Hybrid
arezzo	tri29467	arezzo&&tri29467	0	0	0	1	8.845112243	Hybrid
arezzo	tri3393	arezzo&&tri3393	0	0	0	1	8.476988561	Hybrid
arezzo	tri4851	arezzo&&tri4851	0	0	0	1	9.084313706	Hybrid
arezzo	tri6926	arezzo&&tri6926	0	0	0	1	8.47014131	Hybrid
arezzo	tri7018	arezzo&&tri7018	0	0	0	1	8.275645415	Hybrid
arezzo	tri7861	arezzo&&tri7861	0	0	0	1	8.296490056	Hybrid
arezzo	tri7874	arezzo&&tri7874	0	0	0	1	8.748449069	Hybrid
arezzo	tri9361	arezzo&&tri9361	0	0	0	1	8.510611786	Hybrid
arezzo	tri9368	arezzo&&tri9368	0	0	0	1	8.73651659	Hybrid
arezzo	tri9377	arezzo&&tri9377	0	0	0	1	8.862322278	Hybrid
arezzo	tri9409	arezzo&&tri9409	0	0	0	1	8.581310084	Hybrid
arezzo	tri9413	arezzo&&tri9413	0	0	0	1	9.087119068	Hybrid
arezzo	tri9798	arezzo&&tri9798	0	0	0	1	8.324228744	Hybrid
arija	arija	arija	0	0	0	1	8.345106007	Line
arija	malemixearly	arija&&malemixearly	0	0	0	1	9.083189563	Hybrid
armada	armada	armada	0	0	0	1	8.045516101	Line
armada	nordsaatmix	armada&&nordsaatmix	0	0	0	1	9.284100845	Hybrid
arnaut	arnaut	arnaut	0	0	0	1	8.777527176	Line
artist	artist	artist	0	0	0	1	9.602365566	Line
artist	nordsaatmix	artist&&nordsaatmix	0	0	0	1	9.823084582	Hybrid
attraktion	attraktion	attraktion	0	0	0	1	8.964751442	Line
attraktion	malemixlate	attraktion&&malemixlate	0	0	0	1	9.478835721	Hybrid
aubedesprez	aubedesprez	aubedesprez	0	0	0	1	8.053882817	Line
austerlitz	austerlitz	austerlitz	0	0	0	1	8.653340806	Line
austerlitz	nordsaatmix	austerlitz&&nordsaatmix	0	0	0	1	9.457157207	Hybrid
b42	b42	b42	0	0	0	1	8.120440154	Line
b44	b44	b44	0	0	0	1	8.321723601	Line
b44	malemixearly	b44&&malemixearly	0	0	0	1	9.020345117	Hybrid
b70	b70	b70	0	0	0	1	8.4136859	Line
b70	malemixearly	b70&&malemixearly	0	0	0	1	9.039458684	Hybrid
b98	b98	b98	0	0	0	1	7.60146314	Line
badenstern	badenstern	badenstern	0	0	0	1	7.432639748	Line
badenstern	malemixlate	badenstern&&malemixlate	0	0	0	1	8.754620795	Hybrid
balaton	balaton	balaton	0	0	0	1	8.967035881	Line
balaton	malemixearly	balaton&&malemixearly	0	0	0	1	9.198277749	Hybrid
barroko	barroko	barroko	0	0	0	1	8.428100375	Line
barroko	malemixearly	barroko&&malemixearly	0	0	0	1	9.327836475	Hybrid
barryton	barryton	barryton	0	0	0	1	8.836151349	Line
barryton	nordsaatmix	barryton&&nordsaatmix	0	0	0	1	10.26335628	Hybrid
begra	begra	begra	0	0	0	1	7.658238104	Line
begra	nordsaatmix	begra&&nordsaatmix	0	0	0	1	9.342674376	Hybrid
benchmark	benchmark	benchmark	0	0	0	1	9.707784177	Line
benchmark	tri8280	benchmark&&tri8280	0	0	0	1	9.28256277	Hybrid
bergamo	bergamo	bergamo	0	0	0	1	9.722721445	Line
bergamo	malemixearly	bergamo&&malemixearly	0	0	0	1	9.53091529	Hybrid
bernina	bernina	bernina	0	0	0	1	8.187729965	Line
bernina	malemixlate	bernina&&malemixlate	0	0	0	1	9.322449219	Hybrid
bernstein	bernstein	bernstein	0	0	0	1	8.963869318	Line
bernstein	malemixearly	bernstein&&malemixearly	0	0	0	1	8.947808979	Hybrid
blason	blason	blason	0	0	0	1	8.061508241	Line
blason	sur99820sur186	blason&&sur99820sur186	0	0	0	1	9.56876649	Hybrid
boka	boka	boka	0	0	0	1	8.893133203	Line
boka	malemixearly	boka&&malemixearly	0	0	0	1	9.183687739	Hybrid
bona	bona	bona	0	0	0	1	8.944735639	Line
bona	malemixearly	bona&&malemixearly	0	0	0	1	9.501756712	Hybrid
bonanza	bonanza	bonanza	0	0	1	1	9.558169872	Line
bonanza	malemixlate	bonanza&&malemixlate	0	0	0	1	9.692800203	Hybrid
bonanza	tri5082	bonanza&&tri5082	0	0	0	1	9.331783047	Hybrid
boregar	boregar	boregar	0	0	0	1	8.622004144	Line
boregar	malemixearly	boregar&&malemixearly	0	0	0	1	9.007179946	Hybrid
bosporus	bosporus	bosporus	0	0	0	1	9.509050588	Line
bosporus	malemixearly	bosporus&&malemixearly	0	0	0	1	9.795531002	Hybrid
bosporus	tri5082	bosporus&&tri5082	0	0	0	1	9.447892911	Hybrid
bosporus	tri9326	bosporus&&tri9326	0	0	0	1	8.707417908	Hybrid
boxer	boxer	boxer	0	0	0	1	8.481706863	Line
boxer	malemixlate	boxer&&malemixlate	0	0	0	1	9.106614433	Hybrid
brea	brea	brea	0	0	0	1	8.413257784	Line
brea	malemixearly	brea&&malemixearly	0	0	0	1	9.002662368	Hybrid
brennus	brennus	brennus	0	0	0	1	7.557056521	Line
brennus	nordsaatmix	brennus&&nordsaatmix	0	0	0	1	9.084283118	Hybrid
bruneta	bruneta	bruneta	0	0	0	1	9.129093011	Line
bruneta	malemixearly	bruneta&&malemixearly	0	0	0	1	9.391324141	Hybrid
buenno	buenno	buenno	0	0	0	1	8.988808556	Line
buenno	tri10055	buenno&&tri10055	0	0	0	1	8.945984114	Hybrid
buenno	tri14866	buenno&&tri14866	0	0	0	1	8.784143656	Hybrid
buenno	tri16035	buenno&&tri16035	0	0	0	1	9.204338786	Hybrid
buenno	tri23566	buenno&&tri23566	0	0	0	1	8.138428342	Hybrid
buenno	tri3395	buenno&&tri3395	0	0	0	1	8.637453415	Hybrid
buenno	tri7706	buenno&&tri7706	0	0	0	1	8.455239253	Hybrid
buenno	tri9800	buenno&&tri9800	0	0	0	1	7.958476628	Hybrid
buenno	tri9806	buenno&&tri9806	0	0	0	1	7.641364602	Hybrid
campeador	campeador	campeador	0	0	0	1	7.678343049	Line
campeador	malemixearly	campeador&&malemixearly	0	0	0	1	8.878510092	Hybrid
campremy	campremy	campremy	0	0	0	1	9.020093354	Line
campremy	nordsaatmix	campremy&&nordsaatmix	0	0	0	1	9.273860193	Hybrid
capitolevilmorin	capitolevilmorin	capitolevilmorin	0	0	0	1	7.874596046	Line
capitolevilmorin	sur99820sur186	capitolevilmorin&&sur99820sur186	0	0	0	1	9.203493748	Hybrid
capo	capo	capo	0	0	0	1	8.383545931	Line
